date,id,token,type,new_visitors,new_leads,new_conversions,new_sales_cents,new_commissions_cents,total_visitors,total_leads,total_conversions,total_sales_cents,total_commissions_cents
2025-02-14,b7fac952-a822-4ed7-978d-f60cca3ca1a1,abundancemarble,link,0,0,0,0,0,0,0,0,0,0
2025-02-14,97026db9-91c5-4431-b4b2-4f2321550f64,god-first,link,0,0,0,0,0,0,0,0,0,0
